timestamp,epoch_timestamp,hour,day_of_week,is_weekend,scenario_tag,ambient_temperature_c,solar_irradiance_w_m2,cloud_cover,wind_speed_m_s,solar_generation_kw,wind_generation_kw,total_renewable_kw,machine_a_power_kw,machine_a_status,machine_b_power_kw,machine_b_status,machine_c_baseline_power_kw,machine_c_baseline_status,base_facility_load_kw,baseline_total_load_kw,critical_load_kw,flexible_load_kw,machine_c_flex_potential_kw,machine_c_earliest_start,machine_c_latest_end,machine_c_required_duration_hours,machine_c_deadline,grid_status,tariff_rate,is_peak_tariff,grid_export_limit_kw,baseline_battery_power_kw,baseline_battery_charge_kw,baseline_battery_discharge_kw,baseline_battery_soc,baseline_grid_import_kw,baseline_grid_export_kw,baseline_curtailment_kw,baseline_step_cost,baseline_cumulative_cost,energy_balance_verified
2026-06-01 00:00:00,1780252200,0.0,0,0,NORMAL_OPERATION,18.45,0.0,0.1,4.97,0.0,0.53,0.53,24.56,RUNNING,0.0,OFF,0.0,OFF,10.14,34.7,34.7,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.17,0.0,34.17,48.5,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:05:00,1780252500,0.083,0,0,NORMAL_OPERATION,18.36,0.0,0.19,4.7,0.0,0.34,0.34,24.88,RUNNING,0.0,OFF,0.0,OFF,9.72,34.59,34.59,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.25,0.0,34.25,47.0,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:10:00,1780252800,0.167,0,0,NORMAL_OPERATION,17.88,0.0,0.15,4.63,0.0,0.3,0.3,24.52,RUNNING,0.0,OFF,0.0,OFF,10.09,34.61,34.61,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.31,0.0,34.31,45.49,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:15:00,1780253100,0.25,0,0,NORMAL_OPERATION,18.02,0.0,0.12,5.56,0.0,1.16,1.16,25.5,RUNNING,0.0,OFF,0.0,OFF,9.7,35.2,35.2,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.04,0.0,34.04,44.0,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:20:00,1780253400,0.333,0,0,NORMAL_OPERATION,18.12,0.0,0.17,5.2,0.0,0.73,0.73,24.45,RUNNING,0.0,OFF,0.0,OFF,10.27,34.72,34.72,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-33.99,0.0,33.99,42.51,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:25:00,1780253700,0.417,0,0,NORMAL_OPERATION,17.63,0.0,0.11,4.84,0.0,0.43,0.43,25.56,RUNNING,0.0,OFF,0.0,OFF,10.06,35.62,35.62,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-35.19,0.0,35.19,40.97,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:30:00,1780254000,0.5,0,0,NORMAL_OPERATION,17.9,0.0,0.17,5.57,0.0,1.17,1.17,25.76,RUNNING,0.0,OFF,0.0,OFF,9.93,35.68,35.68,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.51,0.0,34.51,39.45,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:35:00,1780254300,0.583,0,0,NORMAL_OPERATION,17.59,0.0,0.18,5.74,0.0,1.41,1.41,25.58,RUNNING,0.0,OFF,0.0,OFF,10.05,35.63,35.63,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.22,0.0,34.22,37.95,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:40:00,1780254600,0.667,0,0,NORMAL_OPERATION,17.61,0.0,0.1,5.15,0.0,0.68,0.68,24.66,RUNNING,0.0,OFF,0.0,OFF,9.75,34.41,34.41,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-33.73,0.0,33.73,36.47,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:45:00,1780254900,0.75,0,0,NORMAL_OPERATION,17.13,0.0,0.11,5.27,0.0,0.8,0.8,25.22,RUNNING,0.0,OFF,0.0,OFF,9.92,35.14,35.14,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.34,0.0,34.34,34.97,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:50:00,1780255200,0.833,0,0,NORMAL_OPERATION,17.15,0.0,0.12,5.28,0.0,0.82,0.82,25.7,RUNNING,0.0,OFF,0.0,OFF,10.09,35.79,35.79,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.97,0.0,34.97,33.43,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 00:55:00,1780255500,0.917,0,0,NORMAL_OPERATION,17.25,0.0,0.12,6.06,0.0,1.97,1.97,24.46,RUNNING,0.0,OFF,0.0,OFF,9.93,34.39,34.39,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-32.42,0.0,32.42,32.01,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:00:00,1780255800,1.0,0,0,NORMAL_OPERATION,17.46,0.0,0.16,5.82,0.0,1.54,1.54,25.3,RUNNING,0.0,OFF,0.0,OFF,10.21,35.5,35.5,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-33.96,0.0,33.96,30.52,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:05:00,1780256100,1.083,0,0,NORMAL_OPERATION,17.21,0.0,0.12,5.02,0.0,0.57,0.57,24.7,RUNNING,0.0,OFF,0.0,OFF,9.86,34.57,34.57,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-34.0,0.0,34.0,29.03,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:10:00,1780256400,1.167,0,0,NORMAL_OPERATION,16.67,0.0,0.19,6.41,0.0,2.73,2.73,24.7,RUNNING,0.0,OFF,0.0,OFF,10.09,34.8,34.8,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-32.07,0.0,32.07,27.62,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:15:00,1780256700,1.25,0,0,NORMAL_OPERATION,16.74,0.0,0.19,5.79,0.0,1.48,1.48,24.62,RUNNING,0.0,OFF,0.0,OFF,9.85,34.47,34.47,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-32.99,0.0,32.99,26.18,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:20:00,1780257000,1.333,0,0,NORMAL_OPERATION,16.8,0.0,0.13,6.03,0.0,1.9,1.9,25.64,RUNNING,0.0,OFF,0.0,OFF,9.94,35.58,35.58,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-33.68,0.0,33.68,24.7,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:25:00,1780257300,1.417,0,0,NORMAL_OPERATION,16.45,0.0,0.2,5.95,0.0,1.76,1.76,24.35,RUNNING,0.0,OFF,0.0,OFF,9.73,34.07,34.07,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-32.31,0.0,32.31,23.28,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:30:00,1780257600,1.5,0,0,NORMAL_OPERATION,16.3,0.0,0.16,6.45,0.0,2.81,2.81,24.88,RUNNING,0.0,OFF,0.0,OFF,9.74,34.61,34.61,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-31.8,0.0,31.8,21.89,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:35:00,1780257900,1.583,0,0,NORMAL_OPERATION,16.45,0.0,0.2,6.07,0.0,1.98,1.98,25.75,RUNNING,0.0,OFF,0.0,OFF,10.22,35.97,35.97,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-33.99,0.0,33.99,20.4,0.0,0.0,0.0,0.0,0.0,1
2026-06-01 01:40:00,1780258200,1.667,0,0,GRID_FALLBACK,16.09,0.0,0.17,6.36,0.0,2.59,2.59,25.06,RUNNING,0.0,OFF,0.0,OFF,9.86,34.92,34.92,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,-9.06,0.0,9.06,20.0,23.27,0.0,0.0,8.7263,8.73,1
2026-06-01 01:45:00,1780258500,1.75,0,0,GRID_FALLBACK,16.54,0.0,0.11,6.01,0.0,1.86,1.86,24.93,RUNNING,0.0,OFF,0.0,OFF,10.27,35.2,35.2,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,0.0,0.0,0.0,20.0,33.34,0.0,0.0,12.5025,21.23,1
2026-06-01 01:50:00,1780258800,1.833,0,0,GRID_FALLBACK,16.67,0.0,0.13,6.16,0.0,2.16,2.16,24.49,RUNNING,0.0,OFF,0.0,OFF,10.25,34.73,34.73,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,0.0,0.0,0.0,20.0,32.57,0.0,0.0,12.2137,33.44,1
2026-06-01 01:55:00,1780259100,1.917,0,0,GRID_FALLBACK,16.62,0.0,0.13,6.43,0.0,2.76,2.76,25.17,RUNNING,0.0,OFF,0.0,OFF,9.79,34.97,34.97,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,0.0,0.0,0.0,20.0,32.21,0.0,0.0,12.0787,45.52,1
2026-06-01 02:00:00,1780259400,2.0,0,0,GRID_FALLBACK,16.48,0.0,0.15,6.7,0.0,3.46,3.46,25.05,RUNNING,0.0,OFF,0.0,OFF,9.7,34.75,34.75,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,0.0,0.0,0.0,20.0,31.29,0.0,0.0,11.7338,57.26,1
2026-06-01 02:05:00,1780259700,2.083,0,0,GRID_FALLBACK,16.09,0.0,0.1,6.98,0.0,4.34,4.34,25.61,RUNNING,0.0,OFF,0.0,OFF,10.2,35.8,35.8,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,0.0,0.0,0.0,20.0,31.46,0.0,0.0,11.7975,69.05,1
2026-06-01 02:10:00,1780260000,2.167,0,0,GRID_FALLBACK,16.04,0.0,0.11,6.95,0.0,4.23,4.23,25.72,RUNNING,0.0,OFF,0.0,OFF,9.75,35.47,35.47,0.0,35.0,08:00,17:00,3.0,17:00,1,4.5,0,50.0,0.0,0.0,0.0,20.0,31.24,0.0,0.0,11.715,80.77,1
