timestamp,Machine_A_Power,Machine_A_Status,Machine_B_Power,Machine_B_Status,Machine_C_Power,Machine_C_Status,Auxiliary_Load,Total_Production_Load
2026-06-01 00:00:00,24.56,RUNNING,0.0,OFF,0.0,OFF,10.14,34.7
2026-06-01 00:05:00,24.88,RUNNING,0.0,OFF,0.0,OFF,9.72,34.59
2026-06-01 00:10:00,24.52,RUNNING,0.0,OFF,0.0,OFF,10.09,34.61
2026-06-01 00:15:00,25.5,RUNNING,0.0,OFF,0.0,OFF,9.7,35.2
2026-06-01 00:20:00,24.45,RUNNING,0.0,OFF,0.0,OFF,10.27,34.72
2026-06-01 00:25:00,25.56,RUNNING,0.0,OFF,0.0,OFF,10.06,35.62
2026-06-01 00:30:00,25.76,RUNNING,0.0,OFF,0.0,OFF,9.93,35.68
2026-06-01 00:35:00,25.58,RUNNING,0.0,OFF,0.0,OFF,10.05,35.63
2026-06-01 00:40:00,24.66,RUNNING,0.0,OFF,0.0,OFF,9.75,34.41
2026-06-01 00:45:00,25.22,RUNNING,0.0,OFF,0.0,OFF,9.92,35.14
2026-06-01 00:50:00,25.7,RUNNING,0.0,OFF,0.0,OFF,10.09,35.79
2026-06-01 00:55:00,24.46,RUNNING,0.0,OFF,0.0,OFF,9.93,34.39
2026-06-01 01:00:00,25.3,RUNNING,0.0,OFF,0.0,OFF,10.21,35.5
2026-06-01 01:05:00,24.7,RUNNING,0.0,OFF,0.0,OFF,9.86,34.57
2026-06-01 01:10:00,24.7,RUNNING,0.0,OFF,0.0,OFF,10.09,34.8
2026-06-01 01:15:00,24.62,RUNNING,0.0,OFF,0.0,OFF,9.85,34.47
2026-06-01 01:20:00,25.64,RUNNING,0.0,OFF,0.0,OFF,9.94,35.58
2026-06-01 01:25:00,24.35,RUNNING,0.0,OFF,0.0,OFF,9.73,34.07
2026-06-01 01:30:00,24.88,RUNNING,0.0,OFF,0.0,OFF,9.74,34.61
2026-06-01 01:35:00,25.75,RUNNING,0.0,OFF,0.0,OFF,10.22,35.97
2026-06-01 01:40:00,25.06,RUNNING,0.0,OFF,0.0,OFF,9.86,34.92
2026-06-01 01:45:00,24.93,RUNNING,0.0,OFF,0.0,OFF,10.27,35.2
2026-06-01 01:50:00,24.49,RUNNING,0.0,OFF,0.0,OFF,10.25,34.73
2026-06-01 01:55:00,25.17,RUNNING,0.0,OFF,0.0,OFF,9.79,34.97
2026-06-01 02:00:00,25.05,RUNNING,0.0,OFF,0.0,OFF,9.7,34.75
2026-06-01 02:05:00,25.61,RUNNING,0.0,OFF,0.0,OFF,10.2,35.8
2026-06-01 02:10:00,25.72,RUNNING,0.0,OFF,0.0,OFF,9.75,35.47
2026-06-01 02:15:00,25.43,RUNNING,0.0,OFF,0.0,OFF,9.78,35.2
2026-06-01 02:20:00,25.6,RUNNING,0.0,OFF,0.0,OFF,9.95,35.55
2026-06-01 02:25:00,24.52,RUNNING,0.0,OFF,0.0,OFF,9.89,34.41
2026-06-01 02:30:00,25.03,RUNNING,0.0,OFF,0.0,OFF,9.77,34.8
2026-06-01 02:35:00,24.57,RUNNING,0.0,OFF,0.0,OFF,9.83,34.4
2026-06-01 02:40:00,25.65,RUNNING,0.0,OFF,0.0,OFF,10.22,35.86
2026-06-01 02:45:00,24.54,RUNNING,0.0,OFF,0.0,OFF,9.78,34.32
2026-06-01 02:50:00,25.46,RUNNING,0.0,OFF,0.0,OFF,10.18,35.64
2026-06-01 02:55:00,24.88,RUNNING,0.0,OFF,0.0,OFF,9.98,34.86
2026-06-01 03:00:00,24.36,RUNNING,0.0,OFF,0.0,OFF,9.94,34.3
